ESTADO;COD PRODUTO;DESCRIÇÃO PRODUTO;NCM;COD PRINCIPAL;DESC. PRINCIPAL;COD IMOBILIZADO;DESC. IMOBILIZADO;COD GRUPO;DESC. GRUPO;COD CC;DESC CC;CONDICAO;APELIDO;CNPJ FORNEC;RAZÃO SOCIAL;Nº NFE;SERIE;ITEM Nfe;CHAVE ELETRÔNICA;QTD;P. UNIT.;TOTAL ITEM;VLR CONTABIL ;BASE ICMS;PERC ICMS;VLR ICMS;DT EMISSÃO;DT LANC;Dt Aquisição;Vlr.Aquis;Tot.Deprec;Vlr.Residual;Reaval.Mapa 2;Deemed Cost;Vlr.Consolid
NOVO;29588;MORSA PARA BANCADA Nº6                  ;82057000       ;;;26132;MORSA PARA BANCADA Nº6 MARCON ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;62338769/0001-71;MARTINELI COMERCIAL LTDA                                    ;427045;74;1;35250562338769000171550030004270451518981269      ;1;371,86;371,86;371,86;0;0;0;09/05/2025;02/06/2025;02/06/2025;337,46;11,24;326,22;0;0;326,22
NOVO;135563;MICRO RETIFICA 1/8 AT3170CT             ;84671190       ;;;26133;MICRO RETIFICA PNEUM 1/8 0.25HP 70000RPM AT3170CT PUMA ;2;FERRAMENTAS                                                 ;11-24;INTELLI IND.TERM.ELETR.LTDA - MATRIZ-FERRAMENTARIA;9;APELIDO;565813/0001-29;ANHANGUERA COMERCIO DE FERRAMENTAS LTDA.                    ;1395544;74;1;35250500565813000129550030013955441436409860      ;2;936,37;1872,74;1872,74;0;0;0;16/05/2025;02/06/2025;02/06/2025;849,75;28,32;821,43;0;0;821,43
NOVO;135563;MICRO RETIFICA 1/8 AT3170CT             ;84671190       ;;;26134;MICRO RETIFICA PNEUM 1/8 0.25HP 70000RPM AT3170CT PUMA ;2;FERRAMENTAS                                                 ;11-24;INTELLI IND.TERM.ELETR.LTDA - MATRIZ-FERRAMENTARIA;9;APELIDO;565813/0001-29;ANHANGUERA COMERCIO DE FERRAMENTAS LTDA.                    ;1395544;74;1;35250500565813000129550030013955441436409860      ;2;936,37;1872,74;1872,74;0;0;0;16/05/2025;02/06/2025;02/06/2025;849,75;28,32;821,43;0;0;821,43
NOVO;135599;CARRINHO PARA SERRAGEM                  ;99999999       ;;;26135;CARRINHO PARA SERRAGEM ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;31860004/0001-73;WILLIAM BONETTI CARVALHO LTDA                               ;35;72;1;35250531860004000173550010000000351007000935      ;10;460;4600;4600;0;0;0;23/05/2025;02/06/2025;02/06/2025;417,45;13,92;403,53;0;0;403,53
NOVO;135599;CARRINHO PARA SERRAGEM                  ;99999999       ;;;26136;CARRINHO PARA SERRAGEM ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;31860004/0001-73;WILLIAM BONETTI CARVALHO LTDA                               ;35;72;1;35250531860004000173550010000000351007000935      ;10;460;4600;4600;0;0;0;23/05/2025;02/06/2025;02/06/2025;417,45;13,92;403,53;0;0;403,53
NOVO;135599;CARRINHO PARA SERRAGEM                  ;99999999       ;;;26137;CARRINHO PARA SERRAGEM ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;31860004/0001-73;WILLIAM BONETTI CARVALHO LTDA                               ;35;72;1;35250531860004000173550010000000351007000935      ;10;460;4600;4600;0;0;0;23/05/2025;02/06/2025;02/06/2025;417,45;13,92;403,53;0;0;403,53
NOVO;135599;CARRINHO PARA SERRAGEM                  ;99999999       ;;;26138;CARRINHO PARA SERRAGEM ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;31860004/0001-73;WILLIAM BONETTI CARVALHO LTDA                               ;35;72;1;35250531860004000173550010000000351007000935      ;10;460;4600;4600;0;0;0;23/05/2025;02/06/2025;02/06/2025;417,45;13,92;403,53;0;0;403,53
NOVO;135599;CARRINHO PARA SERRAGEM                  ;99999999       ;;;26139;CARRINHO PARA SERRAGEM ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;31860004/0001-73;WILLIAM BONETTI CARVALHO LTDA                               ;35;72;1;35250531860004000173550010000000351007000935      ;10;460;4600;4600;0;0;0;23/05/2025;02/06/2025;02/06/2025;417,45;13,92;403,53;0;0;403,53
NOVO;135599;CARRINHO PARA SERRAGEM                  ;99999999       ;;;26140;CARRINHO PARA SERRAGEM ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;31860004/0001-73;WILLIAM BONETTI CARVALHO LTDA                               ;35;72;1;35250531860004000173550010000000351007000935      ;10;460;4600;4600;0;0;0;23/05/2025;02/06/2025;02/06/2025;417,45;13,92;403,53;0;0;403,53
NOVO;135599;CARRINHO PARA SERRAGEM                  ;99999999       ;;;26141;CARRINHO PARA SERRAGEM ;2;FERRAMENTAS                                                 ;14-13;INTELLI IND.TERM.ELETR.LTDA MULTIPLEX-MANUTENÇÃO MECÂNICA;9;APELIDO;31860004/0001-73;WILLIAM BONETTI CARVALHO LTDA                               ;35;72;1;35250531860004000173550010000000351007000935      ;10;460;4600;4600;0;0;0;23/05/2025;02/06/2025;02/06/2025;417,45;13,92;403,53;0;0;403,53
